,a,b1,b2,b3,b5,b6,b9,b12,c,d,e,k,fe,mg,cu,ca,p,zn
a,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,Yes,Neutral,Yes,No,Yes,Neutral,Neutral,Neutral,Neutral,Yes
b1,Neutral,,No,No,Yes,No,Neutral,No,No,Neutral,Neutral,Neutral,Neutral,No,Neutral,No,Neutral,Neutral
b2,Neutral,No,,Yes,Yes,Yes,Yes,No,Neutral,Neutral,Neutral,Yes,No,Neutral,No,Neutral,Neutral,Yes
b3,Neutral,No,Yes,,Neutral,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Neutral,Neutral,Neutral,Neutral,Neutral
b5,Neutral,Yes,Yes,Neutral,,Neutral,Yes,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,No,Neutral,Neutral,Neutral
b6,Neutral,No,Yes,Yes,Neutral,,Neutral,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Yes,Neutral,Yes
b9,Neutral,Neutral,Yes,Neutral,Yes,Neutral,,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No
b12,No,No,No,Neutral,Yes,No,Yes,,No,Neutral,No,Neutral,No,Neutral,No,Yes,Neutral,Neutral
c,Yes,No,Neutral,Neutral,Yes,Neutral,Yes,No,,Neutral,Yes,Neutral,Yes,Neutral,No,Yes,Neutral,Neutral
d,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,No,Neutral,Neutral,Neutral,Neutral,Yes,Yes,Neutral
e,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,Yes,No,,No,No,No,No,No,Neutral,Neutral
k,No,Neutral,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,,Neutral,Neutral,Neutral,Yes,Yes,Neutral
fe,Yes,Neutral,No,Yes,Neutral,Neutral,Neutral,No,Yes,Neutral,No,Neutral,,No,Neutral,Neutral,Neutral,No
mg,Neutral,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,Neutral,No,,Neutral,Yes,No,Neutral
cu,Neutral,Neutral,No,Neutral,No,Yes,Neutral,No,No,Neutral,No,Neutral,Neutral,Neutral,,Neutral,Neutral,No
ca,Neutral,No,Neutral,Neutral,Neutral,Yes,Neutral,Yes,Yes,Yes,No,Yes,Neutral,Yes,Neutral,,No,No
p,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Neutral,Yes,Neutral,No,Neutral,No,,Neutral
zn,Yes,Neutral,Yes,Neutral,Neutral,Yes,No,Neutral,Neutral,Neutral,Neutral,Neutral,No,Neutral,No,No,Neutral,
